Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS
2022-23,NHL,Connor McDavid,26,EDM,C,64,89,153,22,,,,,,15.8,2.4,0,18.2
2021-22,NHL,Auston Matthews,24,TOR,C,60,46,106,20,,,,,,11.7,2.1,0,13.8
2020-21,NHL,Connor McDavid,24,EDM,C,33,72,105,21,,,,,,10.7,2.2,0,13
2019-20,NHL,Leon Draisaitl,24,EDM,C,43,67,110,-7,,,,,,10.9,1.8,0,12.8
2018-19,NHL,Nikita Kucherov,25,TBL,RW,41,87,128,24,,,,,,12.3,2.3,0,14.6
2017-18,NHL,Taylor Hall,26,NJD,LW,39,54,93,14,,,,,,9.9,2.3,0,12.2
2016-17,NHL,Connor McDavid,20,EDM,C,30,70,100,27,,,,,,9.7,3,0,12.8
2015-16,NHL,Patrick Kane,27,CHI,RW,46,60,106,17,,,,,,12.4,2.6,0,15
2014-15,NHL,Carey Price,27,MTL,G,0,1,1,0,44,16,6,1.96,0.933,0,0,16.2,16.2
2013-14,NHL,Sidney Crosby,26,PIT,C,36,68,104,18,,,,,,10.7,2.8,0,13.5
2012-13,NHL,Alex Ovechkin,27,WSH,RW,32,24,56,2,,,,,,7,1,0,8
Dec-11,NHL,Evgeni Malkin,25,PIT,C,50,59,109,18,,,,,,13.4,2.3,0,15.7
Nov-10,NHL,Corey Perry,25,ANA,RW,50,48,98,9,,,,,,10.8,2.5,0,13.3
Oct-09,NHL,Henrik Sedin,29,VAN,C,29,83,112,35,,,,,,10.6,2.9,0,13.5
Sep-08,NHL,Alex Ovechkin,23,WSH,LW,56,54,110,8,,,,,,12.5,2,0,14.5
Aug-07,NHL,Alex Ovechkin,22,WSH,LW,65,47,112,28,,,,,,14.1,3.1,0,17.2
Jul-06,NHL,Sidney Crosby,19,PIT,C,36,84,120,10,,,,,,11.3,2,0,13.3
Jun-05,NHL,Joe Thornton,26,TOT,C,29,96,125,31,,,,,,10.2,3.1,0,13.3
Apr-03,NHL,Martin St. Louis,28,TBL,RW,38,56,94,35,,,,,,10.1,3.1,0,13.2
Mar-02,NHL,Peter Forsberg,29,COL,C,29,77,106,52,,,,,,10.2,3.4,0,13.6
Feb-01,NHL,José Théodore,25,MTL,G,0,2,2,0,30,24,10,2.11,0.931,0,0,17.4,17.4
Jan-00,NHL,Joe Sakic,31,COL,C,54,64,118,45,,,,,,12.2,3.6,0,15.9
1999-00,NHL,Chris Pronger,25,STL,D,14,48,62,52,,,,,,5.2,9.6,0,14.8
1998-99,NHL,Jaromír Jágr,26,PIT,RW,44,83,127,17,,,,,,11.9,2.7,0,14.6
1997-98,NHL,Dominik Hašek,33,BUF,G,0,2,2,0,33,23,13,2.09,0.932,0,0,18.6,18.6
1996-97,NHL,Dominik Hašek,32,BUF,G,0,3,3,0,37,20,10,2.27,0.93,0,0,17.2,17.2
1995-96,NHL,Mario Lemieux,30,PIT,C,69,92,161,10,,,,,,16.6,0.7,0,17.4
1994-95,NHL,Eric Lindros,21,PHI,C,29,41,70,27,,,,,,7.3,1.5,0,8.8
1993-94,NHL,Sergei Fedorov,24,DET,C,56,64,120,48,,,,,,11.7,2.1,0,13.8
Sep-92,,,,,,,,,,,,,,,,,,
