Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,OPS,DPS,GPS,PS
2022-23,NHL,Connor McDavid,26,EDM,C,64,89,153,22,15.8,2.4,0,18.2
2021-22,NHL,Auston Matthews,24,TOR,C,60,46,106,20,11.7,2.1,0,13.8
2020-21,NHL,Auston Matthews,23,TOR,C,41,25,66,21,7.6,1.9,0,9.5
2019-20,NHL,David Pastrňák,23,BOS,RW,48,47,95,21,10.8,2.4,0,13.2
,,Alex Ovechkin,34,WSH,LW,48,19,67,-12,8,0.8,0,8.7
2018-19,NHL,Alex Ovechkin,33,WSH,LW,51,38,89,7,9.2,1.8,0,11
2017-18,NHL,Alex Ovechkin,32,WSH,LW,49,38,87,3,9.3,1.9,0,11.2
2016-17,NHL,Sidney Crosby,29,PIT,C,44,45,89,17,10.5,1.7,0,12.3
2015-16,NHL,Alex Ovechkin,30,WSH,LW,50,21,71,21,9.1,2.6,0,11.7
2014-15,NHL,Alex Ovechkin,29,WSH,LW,53,28,81,10,10.4,2.2,0,12.6
2013-14,NHL,Alex Ovechkin,28,WSH,LW,51,28,79,-35,9.9,0.3,0,10.2
2012-13,NHL,Alex Ovechkin,27,WSH,RW,32,24,56,2,7,1,0,8
Dec-11,NHL,Steven Stamkos,21,TBL,C,60,37,97,7,12.8,1.9,0,14.6
Nov-10,NHL,Corey Perry,25,ANA,RW,50,48,98,9,10.8,2.5,0,13.3
Oct-09,NHL,Steven Stamkos,19,TBL,C,51,44,95,-2,10.9,1.9,0,12.8
,,Sidney Crosby,22,PIT,C,51,58,109,15,12.2,2.4,0,14.7
Sep-08,NHL,Alex Ovechkin,23,WSH,LW,56,54,110,8,12.5,2,0,14.5
Aug-07,NHL,Alex Ovechkin,22,WSH,LW,65,47,112,28,14.1,3.1,0,17.2
Jul-06,NHL,Vincent Lecavalier,26,TBL,C,52,56,108,2,11.2,2.2,0,13.4
Jun-05,NHL,Jonathan Cheechoo,25,SJS,RW,56,37,93,23,10,2.7,0,12.7
Apr-03,NHL,Rick Nash,19,CBJ,LW,41,16,57,-35,7.1,0.6,0,7.7
,,Ilya Kovalchuk,20,ATL,LW,41,46,87,-10,8.9,1.7,0,10.6
,,Jarome Iginla,26,CGY,RW,41,32,73,21,8,3.1,0,11.1
Mar-02,NHL,Milan Hejduk,26,COL,RW,50,48,98,52,11.1,3.5,0,14.6
Feb-01,NHL,Jarome Iginla,24,CGY,RW,52,44,96,27,11.2,3.2,0,14.4
Jan-00,NHL,Pavel Bure,29,FLA,RW,59,33,92,-2,9.5,2.4,0,11.9
1999-00,NHL,Pavel Bure,28,FLA,RW,58,36,94,25,10.7,2.8,0,13.5
1998-99,NHL,Teemu Selänne,28,MDA,RW,47,60,107,18,11.6,2.7,0,14.3
