Player Name,GP,G,A.,Pts,PIM,Seasons,Yrs.,Pos.,Birthdate,Birthplace
Reg Abbott,3,0,0,0,0,1952-1953,1,C,1930-02-04,"Winnipeg, MAN"
Gene Achtymichuk,20,3,5,8,2,1951-1958,3,C,1932-09-07,"Lamont, ALTA"
Keith Acton,228,78,110,188,229,1979-1984,5,C,1958-04-15,"Stouffville, ONT"
Jack Adams,42,6,12,18,11,1940-1941,1,L,1920-05-05,"Calgary, ALTA"
David Aebischer,39,0,0,0,2,2005-2007,2,G,1978-02-07,"Fribourg, Switzerland"
Kenny Agostino,36,2,9,11,26,2018-2019,1,L,1992-04-30,"Morristown, NJ"
John Aiken,1,0,0,0,0,1957-1958,1,G,1932-01-01,"Arlington, MA"
Art Alexandre,11,0,2,2,8,1931-1933,2,L,1909-03-02,"St. Jean, PQ"
Frederic Allard,3,0,0,0,0,2022-2023,1,D,1997-12-27,"Quebec, PQ"
Bryan Allen,5,0,1,1,2,2014-2015,1,D,1980-08-21,"Kingston, ONT"
George Allen,49,7,14,21,12,1946-1947,1,L,1914-07-27,"Bayfield, NB"
Jake Allen,123,0,2,2,8,2020-2024,4,G,1990-08-07,"Fredericton, NB"
Dave Allison,3,0,0,0,12,1983-1984,1,D,1959-04-14,"Fort Frances, ONT"
Karl Alzner,95,1,12,13,42,2017-2020,3,D,1988-09-24,"Burnaby, BC"
"Doug ""Andy"" Anderson‡",,,,,,1952-1953,1,C,1927-10-20,"Edmonton, ALTA"
Josh Anderson,235,64,37,101,226,2020-2024,4,R,1994-05-07,"Burlington, ONT"
Sven Andrighetto,83,11,17,28,10,2014-2017,3,R,1993-03-21,"Zurich, Switzerland"
Ron Andruff,6,0,0,0,2,1974-1976,2,C,1953-07-10,"Chemainus, BC"
Amos Arbour,43,36,7,43,50,1918-1921,3,L,1895-01-26,"Waubaushene, ONT"
Joel Armia,292,57,47,104,106,2018-2024,6,R,1993-05-31,"Pori, Finland"
Colby Armstrong,37,2,3,5,12,2012-2013,1,L,1982-11-23,"Lloydminster, SASK"
Chuck Arnason,36,4,1,5,6,1971-1973,2,R,1951-07-15,"Ashern, MAN"
Arron Asham,121,11,9,20,138,1998-2002,4,R,1978-04-13,"Portage La Prairie, MAN"
"Oscar ""Ossie"" Asmundson",2,0,0,0,0,1937-1938,1,R,1908-11-17,"Red Deer, ALTA"
Donald Audette,90,15,22,37,43,2001-2004,3,R,1969-09-23,"Laval, PQ"
Alex Auld,16,0,1,1,2,2010-2011,1,G,1981-01-07,"Cold Lake, ALTA"
Don Awrey,128,1,23,24,87,1974-1976,2,D,1943-07-18,"Kitchener, ONT"
Ralph Backstrom,844,215,287,502,348,1956-1971,15,C,1937-09-18,"Kirkland Lake, ONT"
Brandon Baddock,1,0,0,0,0,2021-2022,1,L,1995-03-29,"Vermilion, ALTA"
Bill Baker,11,0,0,0,32,1980-1981,1,D,1956-11-29,"Grand Rapids, MN"
Jozef Balej,4,0,0,0,0,2003-2004,1,R,1982-02-22,"Myjava, Slovakia"
Murray Balfour,5,1,1,2,6,1956-1958,2,R,1936-08-24,"Regina, SASK"
Dave Balon,226,56,56,112,196,1963-1967,4,L,1937-08-02,"Wakaw, SASK"
Riley Barber,9,0,0,0,2,2019-2020,1,R,1994-02-07,"Pittsburgh, PA"
Mark Barberio,56,2,12,14,16,2015-2017,2,D,1990-03-23,"Montreal, PQ"
Murray Baron,60,1,5,6,107,1996-1997,1,D,1967-06-01,"Prince George, BC"
Normand Baron,4,0,0,0,12,1983-1984,1,F,1957-12-15,"Verdun, PQ"
Justin Barron,85,11,18,29,36,2021-2024,3,D,2001-11-15,"Halifax, NS"
Marty Barry,30,4,10,14,2,1939-1940,1,C,1904-12-08,"Quebec, PQ"
Jim Bartlett,2,0,0,0,4,1954-1955,1,L,1932-05-27,"Verdun, PQ"
Victor Bartley,9,0,0,0,6,2015-2016,1,D,1988-02-17,"Ottawa, ONT"
Andre Bashkirov,30,0,3,3,0,1998-2001,3,R,1970-06-22,"Shelekhov, Russia"
Gary Bauman,2,0,0,0,0,1966-1967,1,G,1940-07-21,"Innisfail, ALTA"
Francois Beauchemin,1,0,0,0,0,2002-2003,1,D,1980-06-04,"Sorel, PQ"
Nathan Beaulieu,225,7,53,60,152,2012-2017,5,D,1992-12-05,"Strathroy, ONT"
Owen Beck,1,0,0,0,0,2022-2023,1,C,2004-02-03,"Peterborough, ONT"
Steve Begin,266,35,31,66,275,2003-2009,5,L,1978-06-14,"Trois-Rivieres, PQ"
Francis Belanger,10,0,0,0,29,2000-2001,1,L,1978-01-15,"Bellefeuille, PQ"
Jesse Belanger,39,7,8,15,6,1991-2000,3,C,1969-06-15,"St. Georges Beauce, PQ"
Jean Beliveau,1125,507,712,1219,1031,1950-1971,20,C,1931-08-31,"Trois-Rivieres, PQ"
Billy Bell,42,1,0,1,3,1917-1924,6,C,1891-06-10,"Lachine, PQ"
Shawn Belle,2,0,0,0,0,2009-2010,1,D,1985-01-03,"Edmonton, ALTA"
Brian Bellows,200,81,94,175,88,1992-1995,3,R,1964-09-01,"St. Catharines, ONT"
Alex Belzile,44,6,9,15,17,2019-2023,4,R,1991-08-31,"Riviere-du-Loup, PQ"
Jordie Benn,171,11,28,39,77,2016-2019,3,D,1987-07-26,"Victoria, BC"
Max Bennett,1,0,0,0,0,1935-1936,1,R,1912-11-04,"Cobalt, ONT"
Joe Benoit,185,75,69,144,94,1940-1947,5,R,1916-02-27,"St. Albert, ALTA"
"Gordon ""Red"" Berenson",136,14,23,37,43,1961-1966,5,L,1939-12-08,"Regina, SASK"
Sergei Berezin,29,4,6,10,4,2001-2002,1,L,1971-11-05,"Voskresensk, Russia"
Jean-Claude Bergeron,18,0,1,1,0,1990-1991,1,G,1968-10-14,"Hauterive, PQ"
Marc-Andre Bergeron,60,13,21,34,16,2009-2010,1,D,1980-10-13,"Trois-Rivieres, PQ"
Louis Berlinquette,134,38,29,67,90,1917-1923,6,L,,"Papineauville, PQ"
Bob Berry,2,0,0,0,0,1968-1969,1,L,1943-11-29,"Montreal, PQ"
Eric Bertrand,3,0,0,0,0,2000-2001,1,L,1975-04-16,"St. Ephrem, PQ"
Paul Bibeault,102,0,0,0,0,1940-1946,4,G,1919-04-13,"Montreal, PQ"
Andre Binette,1,0,0,0,0,1954-1955,1,G,1933-12-02,"Montreal, PQ"
